date,symbol,close
2024-01-02,A,100
2024-01-03,A,101
2024-01-04,A,102
2024-01-05,A,101
2024-01-08,A,103
2024-01-09,A,104
2024-01-10,A,105
2024-01-11,A,106
2024-01-12,A,107
2024-01-15,A,108
2024-01-16,A,109
2024-01-17,A,110
2024-01-18,A,109
2024-01-19,A,111
2024-01-22,A,112
2024-01-23,A,113
2024-01-24,A,114
2024-01-25,A,115
2024-01-26,A,116
2024-01-29,A,117
2024-01-02,B,100
2024-01-03,B,99
2024-01-04,B,100
2024-01-05,B,101
2024-01-08,B,100
2024-01-09,B,102
2024-01-10,B,101
2024-01-11,B,103
2024-01-12,B,102
2024-01-15,B,104
2024-01-16,B,103
2024-01-17,B,105
2024-01-18,B,104
2024-01-19,B,106
2024-01-22,B,105
2024-01-23,B,107
2024-01-24,B,106
2024-01-25,B,108
2024-01-26,B,107
2024-01-29,B,109
2024-01-02,C,100
2024-01-03,C,100
2024-01-04,C,99
2024-01-05,C,98
2024-01-08,C,99
2024-01-09,C,98
2024-01-10,C,97
2024-01-11,C,98
2024-01-12,C,97
2024-01-15,C,96
2024-01-16,C,97
2024-01-17,C,96
2024-01-18,C,95
2024-01-19,C,96
2024-01-22,C,95
2024-01-23,C,94
2024-01-24,C,95
2024-01-25,C,94
2024-01-26,C,93
2024-01-29,C,94
